ID,SMILES,MW,logP,numAtoms,numRings,numRotBonds,numHDon,numHAcc
DB07040,NC(=O)c1cc2c(=O)c3cc(F)ccc3oc2nc1N,273.055,1.161,20,3,1,2,5
DB07050,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1,319.971,-0.014,19,2,4,2,7
DB07051,CCOC(=O)c1c(C)[nH][n+](-c2ccccc2)c1C,245.128,2.085,18,2,3,1,2
DB07052,CCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,311.105,-0.219,21,3,4,3,9
DB07055,O=C1c2ccccc2C(=O)N1CCc1nn[nH]n1,243.076,0.038,18,3,3,1,5
DB07057,O=C(O)C1CC(=O)N(c2ccccc2O)C1,221.069,0.83,16,2,2,2,3
DB07060,O=C(O)C(O)Cc1c[nH]c2ccccc12,205.074,1.156,15,2,3,3,2
DB07069,O=C(O)CNC(=O)c1cccc(O)c1,195.053,0.207,14,1,3,3,3
DB07073,CC1(C)CC(=O)c2sc(N3CCOCC3)nc2C1,266.109,2.135,18,3,1,0,5
DB07079,CC#CCOc1ccc(S(=O)(=O)CCCS)cc1,284.054,2.182,18,1,6,1,4
DB07096,Nc1ccc2c3c(cccc13)C(=O)NC2=O,212.059,1.306,16,3,0,2,3
DB07099,NCC(=O)Nc1ccc(OCc2ccccc2)cc1,256.121,2.163,19,2,5,2,3
DB07103,Cc1ccc(OCC[PH](=O)[O-])cc1,199.053,1.209,13,1,4,0,3
DB07106,CN(C)CCCCSC(=N)N,175.114,0.955,11,0,5,2,3
DB07109,COc1ccc(/C=C/C(=O)O)cc1O,194.058,1.499,14,1,3,2,3
DB07114,CS(=O)(=O)Nc1ccc(C(=O)O)cc1,215.025,0.756,14,1,3,2,3
DB07118,Cc1cc(=O)oc2cc(O)ccc12,176.047,1.807,13,2,0,1,3
DB07120,NC(N)=NNC(=O)N(c1ccccc1)c1ccccc1,269.128,1.723,20,2,3,3,2
DB07122,NC(N)=Nc1ccc(CC(=O)c2ccccc2)cc1,253.122,2.017,19,2,4,2,2
DB07129,Cc1cccc(C)c1OCC(C)N,179.131,2.029,13,1,3,1,2
DB07132,CC(C1=c2cc(NC(N)=O)ccc2=NC1=O)c1ccc[nH]1,282.112,0.619,21,3,3,3,2
DB07149,Nc1nccc(-c2cc3c([nH]2)C(CCF)CNC3=O)n1,275.118,1.24,20,3,3,3,4
DB07158,CCn1c(=O)c2c(C)[nH]nc2c2ccccc21,227.106,2.206,17,3,1,1,3
DB07160,CCOC(=O)C1OC1C(=O)NC(C(=O)O)C(C)CC,273.121,-0.068,19,1,7,2,5
DB07164,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,252.112,1.761,19,4,3,1,6
DB07170,Nc1ncnc2c1ncn2C1CC(O)C(CF)O1,253.098,0.026,18,3,2,2,7
DB07171,OCCCCC(CCO)CCCCO,204.173,1.31,14,0,10,3,3
DB07176,Nc1cccc2c(S(=O)(=O)O)cccc12,223.03,1.669,15,2,1,2,3
DB07218,Cc1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,263.046,2.087,18,3,0,1,5
DB07232,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,244.132,1.26,18,3,2,3,3
DB07262,N=C(N=C(N)N)SCc1cccc(C(F)(F)F)c1,276.066,2.147,18,1,2,3,2
DB07273,Cc1cc(S(=O)(=O)N2CCCC2C(=O)O)c(N)cc1Cl,318.044,1.468,20,2,3,2,4
DB07281,Nc1ncccc1NCc1ccccc1,199.111,2.276,15,2,3,2,3
DB07282,COc1ccccc1/C=N\OCCC(=O)O,223.084,1.52,16,1,6,1,4
DB07285,COc1ccc(S(=O)(=O)C(CC(=O)O)C(F)F)cc1,294.037,1.577,19,1,6,1,4
DB07286,Cc1c(N2C(=O)C3C(O)CCN3C2=O)ccc(C#N)c1Cl,305.057,1.422,21,3,1,1,4
DB07291,N#Cc1cnn(-c2ccc(Cl)cc2)c1N,218.036,1.98,15,2,1,1,4
DB07292,Nc1nc(-c2ccc(O)cc2)cs1,192.036,2.098,13,2,1,2,4
DB07293,CC(=O)CNC(=O)OCc1ccccc1,207.09,1.502,15,1,4,1,3
DB07298,O=C(O)COc1c(C(=O)O)sc2ncccc12,253.004,1.458,17,2,4,2,5
DB07317,O=C1OCC/C1=C\Nc1ccccc1,189.079,1.929,14,2,2,1,3
DB07318,NC1=NC(CCNC(=O)c2ccoc2)Nc2c(F)ccc(F)c21,320.108,1.835,23,3,4,3,5
DB07324,Cc1cc(C#Cc2ccccc2CNn2ccoc2=O)nc(N)n1,321.123,1.265,24,3,3,2,7
DB07330,CCCN1CCC(c2nc3c(C(N)=O)cccc3[nH]2)CC1,286.179,2.251,21,3,4,2,3
DB07331,O=C(O)Cc1ccc([N+](=O)[O-])cc1,181.038,1.222,13,1,3,1,3
DB07339,CN1CC(O)C2=CC(=O)C(=O)C=C21,179.058,-0.745,13,2,0,1,4
DB07344,CCOCCOCCOCCOCCOCCO,266.173,0.082,18,0,15,1,6
DB07346,CCc1cc(CCN)ccc1O,165.115,1.456,12,1,3,2,2
DB07347,NCCc1ccc(S(=O)(=O)F)cc1,203.042,0.846,13,1,3,1,3
DB07348,CC1CCC/C=C/C2CC(O)CC2C(O)/C=C/C(=O)O1,280.167,1.962,20,2,0,2,4
DB07350,Cn1cc(C(=O)Cc2ccccc2)cc1/C=C/C(=O)NO,284.116,1.969,21,2,5,2,4
DB07353,NC(O)CCC(N)Cc1ccc(O)cc1,210.137,0.319,15,1,5,4,4
DB07356,C#CC1CCC(CN)N1C(=O)C(N)C1CCCC1,249.184,0.455,18,2,3,2,3
DB07357,CCCCCCOC1OC(CO)C(O)C(N)C1O,263.173,-0.65,18,1,7,4,6
DB07365,NC(Cc1cccc2ccccc12)C(=O)O,215.095,1.794,16,2,3,2,2
DB07368,CS(=O)(=O)c1ccc(C(=N)N)cc1,198.046,0.374,13,1,2,2,3
DB07374,COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,265.131,0.502,19,2,4,2,5
DB07376,CN(C)c1cccc2c(S(=O)(=O)O)cccc12,251.062,2.152,17,2,2,1,3
DB07378,CCCCCCCCOC1OC(CO)C(O)C(N)C1O,291.205,0.13,20,1,9,4,6
DB07380,CC(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F,259.082,1.865,18,1,4,1,2
DB07381,CC(O)(C(=O)O)c1ccccc1,166.063,0.979,12,1,2,2,2
DB07383,CC(=O)NC(Cc1ccccc1)C(O)(O)C(F)(F)F,277.093,0.977,19,1,4,3,3
DB07384,CC(=O)N1CCCCC1C(=O)O,171.09,0.472,12,1,1,1,2
DB07387,CCCCS(=O)(=O)CCC(=O)O,194.061,0.676,12,0,6,1,3
DB07389,Cc1cc(N)nc(CCNC(=O)c2ccc(C#N)cc2)c1,280.132,1.816,21,2,4,2,4
DB07391,CC(N)C(=O)c1nnc(C(C)(C)C)o1,197.116,0.897,14,1,2,1,5
DB07392,CCNc1nc(Cl)nc(NC(C)C)n1,215.094,1.777,14,1,4,2,5
DB07398,NC(=O)c1c(NC(=O)C2CC2)sc2c1CCCC2,264.093,2.074,18,3,3,2,3
DB07402,C=CCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,298.143,1.84,22,3,2,0,4
DB07431,COc1ccc2sc3c(c2c1)NCC(CN)NC3=O,277.088,1.393,19,3,2,3,5
DB07433,CC(NC=O)NC(=O)C(C)NC(=O)OC(C)(C)C,259.153,0.108,18,0,5,3,4
DB07436,CCC(NC=O)c1ccccc1,163.1,1.884,12,1,4,1,1
DB07437,O=c1[nH]c(=O)n(COCCO)cc1Cc1ccccc1,276.111,0.094,20,2,6,2,5
DB07440,CC(C)(C)c1ccc(S(=O)(=O)O)cc1,214.066,2.231,14,1,1,1,2
DB07449,C/C(N)=N\CCCC(NC(=O)c1ccccc1)C(N)=O,276.159,0.428,20,1,7,3,3
DB07452,Nc1nc2cc3[nH]c(N)nc(=O)c3cc2[nH]1,216.076,-0.036,16,3,0,4,5
DB07461,NC1(Cc2ccccc2)CCN2CCC(C=O)N2C1=O,273.148,0.347,20,3,3,1,4
